platform,asin,title,brand,category,current_price,original_price,discount,rating,reviews_count,prime_eligible,amazon_choice,sponsored,main_image,product_url,scraped_at
amazon,B0CKFDVFW9,"Silicone Phone Case Protector With Classic Design And High Quality Compatible With Samsung Galaxy M40 6.3"" - Black",,Samsung phone,EGP 14.41,,,,,,,,https://m.media-amazon.com/images/I/614V4kjA0iL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKFDVFW9,2026-03-28T17:20:59.337669
amazon,B098SL8JVV,"BBANG Universal Waterproof Pouch Cell Phone Dry Bag Case for iPhone 12 11 Pro Max XS XR X 8 7 up to 7"",Samsung Galaxy Note 20 Ultra S21 Plus S20 S10 S9 A02s A01 A11 A21 A12 A32 A52 A51 A71 5G(Black)",,Samsung phone,EGP 33.00,,,3.5,,,,,https://m.media-amazon.com/images/I/61dZSGGafQL._AC_UL320_.jpg,https://www.amazon.eg/dp/B098SL8JVV,2026-03-28T17:21:08.887569
amazon,B0924QD22S,"Waterproof Phone Pouch, Universal Waterproof Case,Floating Cellphone Dry Bag compatible with iPhone Xs Max, X, Max, 8 Plus, 7 Plus, 6s Plus, Samsung Galaxy s7, s8, s9, Note 7 up to 7.0 inch",,Samsung phone,EGP 47.90,EGP 58.80,,3.2,List:,,,,https://m.media-amazon.com/images/I/61-U+BaJPSL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0924QD22S,2026-03-28T17:21:08.888055
amazon,B0C1GJLYWG,iVoler,iVoler,Samsung phone,EGP 42.00,,,4.1,,,,,https://m.media-amazon.com/images/I/71aPoogglAL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0C1GJLYWG,2026-03-28T17:21:08.888521
amazon,B07VYXL7L1,360 Degree Rotatable Metal Flower Magic Suction Cup Mobile Phone Holder Car Bracket for iPad iPhone Samsung Smartphones,,Samsung phone,EGP 21.00,,,2.4,,,,,https://m.media-amazon.com/images/I/517IpL4mlrL._AC_UL320_.jpg,https://www.amazon.eg/dp/B07VYXL7L1,2026-03-28T17:21:08.888925
amazon,B0C5QGB688,Dl3 Mobilak,Dl3 Mobilak,Samsung phone,EGP 45.00,,,4.3,,,,,https://m.media-amazon.com/images/I/617Fb7rBpvL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0C5QGB688,2026-03-28T17:21:08.889335
amazon,B0DKG81XL3,"USB C Digital to 3.5 mm Female Headphone Jack Adapter, Type C Aux Audio Dongle Converter for iPad Pro 11"" 12.9"" 2018/Google Pixel/5 4 3 2/ XL/Samsung S21 S20 Ultra Z Flip S20+ Note 20 S10 S9 Plus",,Samsung phone,EGP 45.00,,,3.2,,,,,https://m.media-amazon.com/images/I/418JA0QBSvL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0DKG81XL3,2026-03-28T17:21:08.889732
amazon,B0BYHTGLZV,"Waterproof Pouch for Mobile Phone & Rainproof Pouch for Mobile iPhone, Samsung, One Plus Mobile Compatible (Multicolor) (Pack of-1)",,Samsung phone,EGP 39.00,,,3.6,,,,,https://m.media-amazon.com/images/I/71U2FbJoYTL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0BYHTGLZV,2026-03-28T17:21:08.890123
amazon,B0FDYVB5WX,Tempered Glass Screen Protector – 9H Hardness – Full Coverage – Anti-Scratch – Compatible with Samsung Galaxy A04 / Samsung Galaxy A04s / Samsung Galaxy A13 5G,,Samsung phone,EGP 49.00,,,5.0,,,,,https://m.media-amazon.com/images/I/61eWQiYJv0L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FDYVB5WX,2026-03-28T17:21:08.890531
amazon,B0GGDRWDRL,Hybrid Shockproof Protective Case for Samsung Galaxy A22 5G Crystal Clear Hard PC Back | Soft TPU Flexible Bumper | 0.5mm Raised Protection,,Samsung phone,EGP 35.20,EGP 44.00,,5.0,Was:,,,,https://m.media-amazon.com/images/I/41hK-er+b7L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0GGDRWDRL,2026-03-28T17:21:08.891006
amazon,B0DQLRYH6P,Case Compatible with Samsung Galaxy A06 Clear Case Four Angles Armor Full Body Protection TPU Anti-Yellowing Clear Phone Cover - Clear,,Samsung phone,EGP 49.91,,,3.9,,,,,https://m.media-amazon.com/images/I/51JAIwjx4CL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0DQLRYH6P,2026-03-28T17:21:08.891414
amazon,B0C7H69SFV,Plastic Phone Cover Protection With Black Edges And Silicone Finger Holder For Samsung Galaxy A01 5.7 Inch - Navy,,Samsung phone,EGP 27.61,,,,,,,,https://m.media-amazon.com/images/I/51TEfP7TVYL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0C7H69SFV,2026-03-28T17:21:08.891769
amazon,B08VJKKZZ7,AMPLE,AMPLE,Samsung phone,EGP 47.53,EGP 60.00,,4.4,Was:,,,,https://m.media-amazon.com/images/I/71tUdP-cJGL._AC_UL320_.jpg,https://www.amazon.eg/dp/B08VJKKZZ7,2026-03-28T17:21:08.892237
