platform,product_id,title,brand,category,current_price,original_price,discount,rating,reviews_count,availability,seller,express_delivery,platform_badge,sponsored,main_image,all_images,description,weight,dimensions,model_number,country_of_origin,warranty,tech_specs,variations,ships_from,delivery_date,product_url,scraped_at
noon,N43324935A,Adjustable  Waterproof Apron Multicolour,AMERTEER,Kitchen & Dining,,146.95 EGP,,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pnsku/N43324935A/45/_/1771502751/99b3d43a-222c-4530-8644-63487943be4a.jpg,https://f.nooncdn.com/p/pnsku/N43324935A/45/_/1771502751/99b3d43a-222c-4530-8644-63487943be4a.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/adjustable-waterproof-apron-multicolour/p/?o=N43324935A,2026-03-28T20:19:35.544149
noon,ZE7687340329814F40DB7Z,Foldable Card-Style Utility Cutter for Fruits & Crafts â Compact Portable Slice Tool (2pcs),Showday,Kitchen & Dining,119 EGP,199 EGP,40%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pzsku/ZE7687340329814F40DB7Z/45/1764583320/a6517d41-260d-4872-827c-823981ab5bca.jpg,https://f.nooncdn.com/p/pzsku/ZE7687340329814F40DB7Z/45/1764583320/a6517d41-260d-4872-827c-823981ab5bca.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/foldable-card-style-utility-cutter-for-fruits-crafts-compact-portable-slice-tool-2pcs/p/?o=ZE7687340329814F40DB7Z,2026-03-28T20:19:35.544168
noon,N50348007A,2-Tier Dish Drying Storage Rack Black 800grams,AIWANTO,Kitchen & Dining,498 EGP,525 EGP,5%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pnsku/N50348007A/45/_/1766380632/ac4d94e9-ca2e-43fc-9949-9f694affc031.jpg,https://f.nooncdn.com/p/pnsku/N50348007A/45/_/1766380632/ac4d94e9-ca2e-43fc-9949-9f694affc031.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/2-tier-dish-drying-storage-rack-black-800grams/p/?o=N50348007A,2026-03-28T20:19:35.544176
noon,N48426159A,Oil Sprayer For Cooking 200 ML Multicolour,FALMER,Kitchen & Dining,78.2 EGP,229 EGP,66%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/v1623921619/N48426159A_1.jpg,https://f.nooncdn.com/p/v1623921619/N48426159A_1.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/oil-sprayer-for-cooking-200-ml-multicolour/p/?o=N48426159A,2026-03-28T20:19:35.544183
noon,N47742834A,Flexible Silicone Ice Cube With Removable Lid Multicolour,XiuWoo,Kitchen & Dining,,89.95 EGP,,,,In Stock,Noon,,,,https://f.nooncdn.com/p/v1622398938/N47742834A_1.jpg,https://f.nooncdn.com/p/v1622398938/N47742834A_1.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/flexible-silicone-ice-cube-with-removable-lid-multicolour/p/?o=N47742834A,2026-03-28T20:19:35.544188
noon,ZABBDD3DE760D491358D4Z,"Stainless Steel Mug, (40 OZ) Stainless Steel Mug with Straw and Handle, Insulated Mug with Lid Travel Mug, Stainless Steel Coffee Mug for Hot Iced Drinks, Travel Mug with Handle",Stanley,Kitchen & Dining,669 EGP,750 EGP,11%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pzsku/ZABBDD3DE760D491358D4Z/45/_/1773519766/60122615-a216-4ba6-bfb6-e8b1c0d723f4.jpg,https://f.nooncdn.com/p/pzsku/ZABBDD3DE760D491358D4Z/45/_/1773519766/60122615-a216-4ba6-bfb6-e8b1c0d723f4.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/stainless-steel-mug-40-oz-stainless-steel-mug-with-straw-and-handle-insulated-mug-with-lid-travel-mug-stainless-steel-coffee-mug-for-hot-iced-drinks-travel-mug-with-handle/p/?o=ZABBDD3DE760D491358D4Z,2026-03-28T20:19:35.544195
noon,N18195730A,"Replacement Water Filter Cartridge For 6RF, 3RF, CS10, CS20, 2RF and 1RF Multicolor",Panasonic,Kitchen & Dining,890 EGP,1285 EGP,31%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pnsku/N18195730A/45/_/1756219336/cb0d5628-69d2-41b6-ac4f-0b8259d79a1b.jpg,https://f.nooncdn.com/p/pnsku/N18195730A/45/_/1756219336/cb0d5628-69d2-41b6-ac4f-0b8259d79a1b.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/replacement-water-filter-cartridge-for-6rf-3rf-cs10-cs20-2rf-and-1rf-multicolor/p/?o=N18195730A,2026-03-28T20:19:35.544200
noon,N35944451A,Elevated Nonstick Crisper Tray Brown 13x4x11inch,GOTHAM STEEL,Kitchen & Dining,,324 EGP,,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pnsku/N35944451A/45/_/1771167025/01c406da-9cdf-4368-96a2-15f2afb41ded.jpg,https://f.nooncdn.com/p/pnsku/N35944451A/45/_/1771167025/01c406da-9cdf-4368-96a2-15f2afb41ded.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/elevated-nonstick-crisper-tray-brown-13x4x11inch/p/?o=N35944451A,2026-03-28T20:19:35.544214
noon,Z7CCD6E655D36F25D35EEZ,Zinnia By Fathy Mahmoud Porcelain Dg-23873 Coup Dinnerware Set 30 Pieces (6 Dinner Plate-6 Soup Plate-6 Dessert Plate-6 Bowl-6 Mugs),,Kitchen & Dining,,2899 EGP,,,,In Stock,Noon,,,,https://f.nooncdn.com/p/eae7e0d8f2d152bdb29933eba9c9e8a8|pzsku/Z7CCD6E655D36F25D35EEZ/45/1771167459/349c3a19-b93e-4a91-b9a9-601bc59e86b4.jpg,https://f.nooncdn.com/p/eae7e0d8f2d152bdb29933eba9c9e8a8|pzsku/Z7CCD6E655D36F25D35EEZ/45/1771167459/349c3a19-b93e-4a91-b9a9-601bc59e86b4.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/zinnia-by-fathy-mahmoud-porcelain-dg-23873-coup-dinnerware-set-30-pieces-6-dinner-plate-6-soup-plate-6-dessert-plate-6-bowl-6-mugs/p/?o=Z7CCD6E655D36F25D35EEZ,2026-03-28T20:19:35.544220
noon,N43897896A,Power Water Filter Cartridges Pack Multicolour,TANK,Kitchen & Dining,172 EGP,323 EGP,47%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pnsku/N43897896A/45/_/1722423948/ed05b97b-55ef-4dbc-ab65-ec5fa30bc8bf.jpg,https://f.nooncdn.com/p/pnsku/N43897896A/45/_/1722423948/ed05b97b-55ef-4dbc-ab65-ec5fa30bc8bf.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/power-water-filter-cartridges-pack-multicolour/p/?o=N43897896A,2026-03-28T20:19:35.544226
