platform,asin,title,brand,category,current_price,original_price,discount,rating,reviews_count,prime_eligible,amazon_choice,sponsored,main_image,product_url,scraped_at
amazon,B00BD75ZHW,Penac High-Tech Polymer leads 0.5mm-12 PCS,Brand: Penac,"Office Products > Pens, Pencils & Writing Supplies > Pencils > Mechanical Pencil Leads",EGP50.00,,,4.0,,,,,https://m.media-amazon.com/images/I/41B5s5Xt+2L._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B00BD75ZHW,2026-03-29T10:34:38.428077
amazon,B010JNXOQO,Congratulations 21 Today Birthday Card,Brand: Prelude,Office Products > Office Paper Products > Cards & Card Stock > Greeting Cards,EGP35.00,,,5.0,,,,,https://m.media-amazon.com/images/I/81nUd3DYIfL._AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B010JNXOQO,2026-03-29T10:34:51.257631
amazon,B07JCVZQPP,"Bosch Wiper Blade Aerotwin A322S, Length: 650mm (26"") /500mm (20"") – set of front wiper blades",BOSCH,Automotive > Automobile Parts & Accessories > Car Parts > Windshield Wipers & Parts > Replacement Blades,"EGP1,062.94",,,4.7,,,,,https://m.media-amazon.com/images/I/61Y8ynC5MyL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B07JCVZQPP,2026-03-29T10:35:28.094006
amazon,B07MVWWL9S,NIVEA MEN Shaving Foam Deep 200ml,NIVEA,Beauty > Shaving & Hair Removal > Pre-Treatments > Men's > Foams,EGP190.00,EGP260.00,,4.5,,,,,https://m.media-amazon.com/images/I/61NRNx8B6wL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B07MVWWL9S,2026-03-29T10:35:34.442245
amazon,B085NVH4V5,10pcs/Set Bed Sheet Fixing Clip Grippers Coverlet Fasteners Clothes Pegs Non-Slip Holders White,Spaceshoop,Home & Kitchen > Bedding & Linen > Bedding Accessories,EGP29.49,,,3.1,,,,,https://m.media-amazon.com/images/I/51lBgk7bLRL._AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B085NVH4V5,2026-03-29T10:36:08.045227
amazon,B08D8F6YLC,"NIVEA Face Night Cream, Q10 Energy Recharging, Vitamin C + E, 50ml",NIVEA,Beauty > Skin Care > Face > Creams & Moisturizers > Night Care,EGP239.50,EGP250.00,,4.0,,,,,https://m.media-amazon.com/images/I/614T7eBXpZL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B08D8F6YLC,2026-03-29T10:36:23.715044
amazon,B08JM4R6X7,pedkit Washing Machine Effervescent Tablets - 12 Pieces,Spaceshoop,Health & Household Products > Home Care & Cleaning > Laundry > Laundry Detergent > Detergent Capsules & Tablets,EGP64.00,EGP77.00,,3.7,,,,,https://m.media-amazon.com/images/I/61A1pYBP8nL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B08JM4R6X7,2026-03-29T10:36:28.920294
amazon,B08WJNDV5D,Shave Code shaving gel for normal skin-150 ml,Brand: Shave Code,Beauty > Shaving & Hair Removal > Pre-Treatments > Men's > Gels,EGP57.00,EGP75.00,,4.3,,,,,https://m.media-amazon.com/images/I/61k472oqIkL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B08WJNDV5D,2026-03-29T10:36:54.129362
amazon,B08WT1SHKF,3A Modern 52 Rectangle Sharpener 20 Pieces Metal - Silver,Brand: 3A,"Office Products > Pens, Pencils & Writing Supplies > Pencil Sharpeners",EGP170.00,,,,,,,,https://m.media-amazon.com/images/I/614C89LmDDL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B08WT1SHKF,2026-03-29T10:36:59.927333
amazon,B091C3VGZ2,Women Bra lingeries Instant Breast Lift Invisible Silicone Push Up Bra,Other,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Bras > Adhesive Bras",,,,3.0,,,,,https://m.media-amazon.com/images/I/41pOSXg2QAL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B091C3VGZ2,2026-03-29T10:37:25.243674
amazon,B091NY8MXK,TORNADO Hand Blender 1000 Watt Chopper Whisk Black THB-1000MC,Tornado,"Home & Kitchen > Household Appliances > Small Appliances > Blenders, Mixers & Food Processors > Blenders > Hand Blenders","EGP2,599.00","EGP2,729.00",,4.5,,,,,https://m.media-amazon.com/images/I/51u0PFWPzOL._AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B091NY8MXK,2026-03-29T10:37:52.283951
